date,slug,version,platform,checkpoint,views,retention_3s_pct,avg_watch_s,completion_pct,likes,comments,shares,saves,followers_gained,hook_text,notes
2026-09-18,wolverine-watermelons,5,youtube,~48h,400,,,,9,,,,,"Everyone thinks I'm just a guy with claws.","first upload; review: viewers leave in first 3 s, no CTA"
2026-09-18,wolverine-watermelons,5,facebook,~48h,250,,,,2,,,,,"Everyone thinks I'm just a guy with claws.",
2026-09-18,wolverine-watermelons,5,instagram,~48h,100,,,,,,,,,"Everyone thinks I'm just a guy with claws.",
2026-09-19,jhin-four-shots,9,youtube,upload,,,,,,,,,,"Four shots. One masterpiece.","standard opening/ending v1 (spotlight+title, screen crack, narrator CTA); fill 24h/72h/7d rows"
2026-09-19,jhin-four-shots,9,tiktok,upload,,,,,,,,,,"Four shots. One masterpiece.",
2026-09-19,jhin-four-shots,9,instagram,upload,,,,,,,,,,"Four shots. One masterpiece.",
2026-09-19,jhin-four-shots,9,facebook,upload,,,,,,,,,,"Four shots. One masterpiece.",
